Rank,Median Household Income,Zip / Population,Zip,Population
1674,"$14,848 ",92341 / 294,92341,294
1146,"$45,625 ",91934 / 293,91934,293
109,"$110,236 ",95837 / 289,95837,289
1643,"$22,917 ",93652 / 288,93652,288
112,"$109,545 ",96125 / 285,96125,285
1555,"$30,500 ",96034 / 285,96034,285
913,"$54,327 ",95714 / 284,95714,284
1686,"$6,827 ",93669 / 284,93669,284
1462,"$34,750 ",92328 / 281,92328,281
1351,"$39,013 ",96092 / 277,96092,277
1529,"$31,932 ",95569 / 277,95569,277
986,"$51,806 ",95312 / 276,95312,276
379,"$80,313 ",96106 / 275,96106,275
1001,"$51,250 ",93603 / 274,93603,274
1217,"$43,295 ",92066 / 273,92066,273
168,"$100,380 ",92385 / 269,92385,269
1185,"$44,333 ",95550 / 269,95550,269
1648,"$21,912 ",92259 / 269,92259,269
1672,"$15,529 ",95443 / 268,95443,268
1626,"$25,486 ",93558 / 267,93558,267
609,"$66,679 ",93628 / 266,93628,266
1660,"$20,179 ",95224 / 266,95224,266
1462,"$34,750 ",93207 / 263,93207,263
1559,"$29,952 ",96046 / 255,96046,255
1213,"$43,355 ",95736 / 250,95736,250
292,"$87,596 ",96121 / 249,96121,249
1201,"$43,750 ",93954 / 246,93954,246
937,"$53,214 ",95936 / 244,95936,244
1062,"$49,063 ",96117 / 244,96117,244
1647,"$21,979 ",95526 / 237,95526,237
1376,"$38,438 ",96017 / 234,96017,234
12,"$166,750 ",95140 / 233,95140,233
1263,"$42,222 ",93641 / 233,93641,233
1615,"$26,250 ",96112 / 230,96112,230
1319,"$40,179 ",93251 / 229,93251,229
1429,"$36,429 ",96040 / 229,96040,229
995,"$51,389 ",95450 / 228,95450,228
1652,"$21,410 ",95427 / 227,95427,227
377,"$80,341 ",94104 / 223,94104,223
954,"$52,500 ",96063 / 222,96063,222
1675,"$14,688 ",96037 / 220,96037,220
1142,"$45,769 ",95698 / 219,95698,219
789,"$58,500 ",95232 / 217,95232,217
651,"$64,583 ",94512 / 214,94512,214
226,"$93,529 ",93645 / 212,93645,212
1541,"$31,250 ",96115 / 212,96115,212
222,"$93,810 ",94021 / 211,94021,211
346,"$82,917 ",93605 / 201,93605,201
461,"$75,163 ",95625 / 200,95625,200
1345,"$39,167 ",95717 / 199,95717,199
1541,"$31,250 ",96074 / 199,96074,199
1579,"$28,958 ",94940 / 194,94940,194
1129,"$46,319 ",95494 / 188,95494,188
284,"$88,333 ",95493 / 187,95493,187
1513,"$32,500 ",96010 / 187,96010,187
1441,"$35,750 ",95595 / 180,95595,180
1621,"$26,000 ",93512 / 178,93512,178
1651,"$21,429 ",95248 / 178,95248,178
1158,"$45,313 ",93276 / 176,93276,176
1632,"$24,375 ",93260 / 175,93260,175
523,"$71,301 ",95417 / 170,95417,170
1645,"$22,893 ",95514 / 170,95514,170
1666,"$17,981 ",91046 / 168,91046,168
573,"$68,636 ",92378 / 166,92378,166
903,"$54,688 ",96029 / 165,96029,165
1193,"$43,971 ",96105 / 165,96105,165
1641,"$23,542 ",96031 / 165,96031,165
1631,"$24,625 ",96116 / 162,96116,162
1224,"$43,036 ",95601 / 161,95601,161
1590,"$28,261 ",96133 / 160,96133,160
1663,"$18,750 ",96011 / 155,96011,155
164,"$100,750 ",94516 / 154,94516,154
229,"$93,393 ",95571 / 152,95571,152
803,"$57,917 ",96014 / 152,96014,152
424,"$77,188 ",95699 / 148,95699,148
80,"$120,208 ",95041 / 146,95041,146
718,"$61,310 ",94573 / 142,94573,142
625,"$65,735 ",93287 / 141,93287,141
38,"$135,076 ",96136 / 135,96136,135
1359,"$38,750 ",96068 / 135,96068,135
1513,"$32,500 ",96126 / 133,96126,133
1669,"$16,537 ",95537 / 130,95537,130
1608,"$26,771 ",96110 / 129,96110,129
98,"$114,542 ",95587 / 128,95587,128
1607,"$26,813 ",93554 / 128,93554,128
280,"$88,750 ",93208 / 125,93208,125
1392,"$37,663 ",95910 / 115,95910,115
1681,"$12,000 ",92389 / 115,92389,115
1113,"$47,031 ",93429 / 114,93429,114
1247,"$42,500 ",96132 / 103,96132,103
1644,"$22,904 ",95559 / 103,95559,103
654,"$64,375 ",95545 / 99,95545,99
1589,"$28,285 ",93519 / 97,93519,97
1680,"$12,404 ",96049 / 90,96049,90
1181,"$44,417 ",94929 / 82,94929,82
1517,"$32,361 ",95715 / 80,95715,80
481,"$73,125 ",95429 / 77,95429,77
1201,"$43,750 ",96119 / 71,96119,71
1685,"$10,481 ",95915 / 58,95915,58
656,"$64,219 ",96085 / 50,96085,50
1676,"$14,073 ",95679 / 48,95679,48
1480,"$34,063 ",95735 / 30,95735,30
