Rank,Median Household Income,Zip / Population,Zip,Population
665,"$63,816 ","95982 / 3,251",95982,"3,251"
1578,"$29,005 ","93261 / 3,248",93261,"3,248"
530,"$70,938 ","95633 / 3,247",95633,"3,247"
1321,"$40,109 ","93242 / 3,230",93242,"3,230"
566,"$68,887 ","96145 / 3,215",96145,"3,215"
617,"$66,136 ","94599 / 3,187",94599,"3,187"
453,"$75,380 ","93066 / 3,179",93066,"3,179"
701,"$62,230 ","93921 / 3,164",93921,"3,164"
646,"$64,712 ","95442 / 3,154",95442,"3,154"
231,"$93,099 ","92661 / 3,152",92661,"3,152"
363,"$81,667 ","94525 / 3,151",94525,"3,151"
761,"$59,844 ","95634 / 3,143",95634,"3,143"
1385,"$38,077 ","94130 / 3,083",94130,"3,083"
1034,"$50,227 ","95536 / 3,078",95536,"3,078"
1253,"$42,366 ","95333 / 3,064",95333,"3,064"
706,"$62,056 ","95223 / 3,042",95223,"3,042"
1598,"$27,379 ","95423 / 3,040",95423,"3,040"
347,"$82,857 ","92662 / 3,018",92662,"3,018"
1408,"$37,150 ","92391 / 3,001",92391,"3,001"
1119,"$46,575 ","95237 / 2,999",95237,"2,999"
963,"$52,292 ","95684 / 2,980",95684,"2,980"
989,"$51,667 ","92036 / 2,977",92036,"2,977"
61,"$124,712 ","92823 / 2,960",92823,"2,960"
1395,"$37,500 ","95951 / 2,948",95951,"2,948"
1561,"$29,889 ","90011 / 102,926",90011,"2,926"
1679,"$12,748 ","90021 / 2,913",90021,"2,913"
739,"$60,587 ","93265 / 2,892",93265,"2,892"
27,"$147,568 ","94037 / 2,880",94037,"2,880"
682,"$63,105 ","93675 / 2,808",93675,"2,808"
1606,"$26,827 ","96041 / 2,795",96041,"2,795"
1190,"$44,010 ","92536 / 2,750",92536,"2,750"
1671,"$15,988 ","90058 / 2,748",90058,"2,748"
961,"$52,329 ","93430 / 2,735",93430,"2,735"
1569,"$29,362 ","92285 / 2,731",92285,"2,731"
40,"$133,333 ","95053 / 2,730",95053,"2,730"
1074,"$48,617 ","93643 / 2,724",93643,"2,724"
1444,"$35,634 ","95542 / 2,718",95542,"2,718"
1500,"$33,011 ","93249 / 2,698",93249,"2,698"
653,"$64,479 ","95669 / 2,676",95669,"2,676"
800,"$58,191 ","95329 / 2,654",95329,"2,654"
738,"$60,625 ","92549 / 2,652",92549,"2,652"
1426,"$36,500 ","92004 / 2,624",92004,"2,624"
1412,"$37,013 ","90201 / 102,515",90201,"2,515"
1565,"$29,708 ","95485 / 2,508",95485,"2,508"
1405,"$37,235 ","96134 / 2,506",96134,"2,506"
1504,"$32,782 ","95428 / 2,491",95428,"2,491"
62,"$124,375 ","95663 / 2,485",95663,"2,485"
1211,"$43,430 ","96027 / 2,462",96027,"2,462"
715,"$61,466 ","93601 / 2,457",93601,"2,457"
901,"$54,769 ","93532 / 2,419",93532,"2,419"
997,"$51,345 ","91331 / 102,367",91331,"2,367"
268,"$89,500 ","90067 / 2,364",90067,"2,364"
1099,"$47,625 ","96032 / 2,339",96032,"2,339"
1052,"$49,470 ","95460 / 2,338",95460,"2,338"
1567,"$29,511 ","92283 / 2,334",92283,"2,334"
573,"$68,636 ","95465 / 2,328",95465,"2,328"
1562,"$29,848 ","93283 / 2,313",93283,"2,313"
1098,"$47,644 ","96113 / 2,294",96113,"2,294"
1658,"$20,896 ","93258 / 2,292",93258,"2,292"
1195,"$43,913 ","93271 / 2,278",93271,"2,278"
1553,"$30,708 ","93516 / 2,271",93516,"2,271"
1251,"$42,433 ","96020 / 2,246",96020,"2,246"
1546,"$31,144 ","93285 / 2,218",93285,"2,218"
1609,"$26,667 ","95464 / 2,208",95464,"2,208"
1283,"$41,488 ","93206 / 2,196",93206,"2,196"
1419,"$36,845 ","94511 / 2,158",94511,"2,158"
1436,"$36,196 ","95454 / 2,135",95454,"2,135"
1541,"$31,250 ","93616 / 2,126",93616,"2,126"
1244,"$42,576 ","95645 / 2,110",95645,"2,110"
1668,"$16,649 ","92401 / 2,104",92401,"2,104"
1507,"$32,721 ","96025 / 2,102",96025,"2,102"
1531,"$31,912 ","93545 / 2,099",93545,"2,099"
932,"$53,385 ","93667 / 2,089",93667,"2,089"
1024,"$50,500 ","95570 / 2,083",95570,"2,083"
1243,"$42,614 ","95311 / 2,073",95311,"2,073"
802,"$57,969 ","95975 / 2,072",95975,"2,072"
1659,"$20,349 ","93205 / 2,065",93205,"2,065"
695,"$62,424 ","95245 / 2,064",95245,"2,064"
248,"$91,518 ","95638 / 2,047",95638,"2,047"
1140,"$45,877 ","93040 / 2,037",93040,"2,037"
324,"$84,750 ","92676 / 2,033",92676,"2,033"
1424,"$36,678 ","95255 / 1,991",95255,"1,991"
768,"$59,545 ","95441 / 1,989",95441,"1,989"
1089,"$48,063 ","93553 / 1,975",93553,"1,975"
394,"$79,457 ","95372 / 1,969",95372,"1,969"
2,"$228,587 ","92145 / 1,968",92145,"1,968"
1049,"$49,545 ","95469 / 1,960",95469,"1,960"
1526,"$32,054 ","92281 / 1,960",92281,"1,960"
889,"$55,169 ","92365 / 1,953",92365,"1,953"
717,"$61,319 ","93239 / 1,950",93239,"1,950"
1460,"$34,783 ","92386 / 1,949",92386,"1,949"
1395,"$37,500 ","95310 / 1,934",95310,"1,934"
863,"$56,101 ","95690 / 1,932",95690,"1,932"
972,"$52,123 ","93527 / 1,914",93527,"1,914"
553,"$69,760 ","95524 / 1,902",95524,"1,902"
1077,"$48,500 ","95977 / 1,887",95977,"1,887"
1425,"$36,563 ","95567 / 1,854",95567,"1,854"
1191,"$44,000 ","95374 / 1,847",95374,"1,847"
280,"$88,750 ","94973 / 1,831",94973,"1,831"
1144,"$45,729 ","95551 / 1,826",95551,"1,826"
577,"$68,333 ","92061 / 1,824",92061,"1,824"
418,"$77,583 ","95918 / 1,805",95918,"1,805"
1556,"$30,478 ","93562 / 1,781",93562,"1,781"
1494,"$33,173 ","95903 / 1,772",95903,"1,772"
1665,"$18,220 ","92257 / 1,757",92257,"1,757"
1359,"$38,750 ","95641 / 1,732",95641,"1,732"
167,"$100,398 ","91962 / 1,722",91962,"1,722"
733,"$60,724 ","93243 / 1,720",93243,"1,720"
1359,"$38,750 ","94956 / 1,687",94956,"1,687"
1150,"$45,551 ","93222 / 1,681",93222,"1,681"
757,"$60,000 ","93925 / 1,672",93925,"1,672"
1087,"$48,142 ","95525 / 1,668",95525,"1,668"
1475,"$34,500 ","95947 / 1,663",95947,"1,663"
763,"$59,738 ","93461 / 1,661",93461,"1,661"
480,"$73,333 ","95002 / 1,660",95002,"1,660"
606,"$66,750 ","95426 / 1,659",95426,"1,659"
1512,"$32,634 ","96052 / 1,652",96052,"1,652"
756,"$60,089 ","94060 / 1,650",94060,"1,650"
1304,"$40,781 ","96028 / 1,633",96028,"1,633"
403,"$78,630 ","92561 / 1,600",92561,"1,600"
1468,"$34,643 ","95415 / 1,591",95415,"1,591"
1186,"$44,250 ","96118 / 1,590",96118,"1,590"
1092,"$47,833 ","93513 / 1,584",93513,"1,584"
1400,"$37,321 ","95449 / 1,583",95449,"1,583"
1629,"$24,814 ","95319 / 1,581",95319,"1,581"
720,"$61,296 ","91916 / 1,580",91916,"1,580"
801,"$58,012 ","93238 / 1,575",93238,"1,575"
261,"$90,179 ","93651 / 1,569",93651,"1,569"
555,"$69,702 ","92347 / 1,554",92347,"1,554"
1237,"$42,708 ","95039 / 1,545",95039,"1,545"
1044,"$49,708 ","95346 / 1,541",95346,"1,541"
797,"$58,289 ","95421 / 1,537",95421,"1,537"
1141,"$45,871 ","95919 / 1,529",95919,"1,529"
833,"$57,014 ","93426 / 1,522",93426,"1,522"
1435,"$36,201 ","95445 / 1,522",95445,"1,522"
241,"$92,356 ","94020 / 1,483",94020,"1,483"
1179,"$44,464 ","95681 / 1,475",95681,"1,475"
680,"$63,112 ","93440 / 1,472",93440,"1,472"
1636,"$24,122 ","93266 / 1,465",93266,"1,465"
1618,"$26,058 ","95548 / 1,459",95548,"1,459"
615,"$66,417 ","92059 / 1,450",92059,"1,450"
1498,"$33,100 ","95968 / 1,438",95968,"1,438"
475,"$73,621 ","94924 / 1,434",94924,"1,434"
216,"$94,318 ","92091 / 1,433",92091,"1,433"
1445,"$35,607 ","95573 / 1,433",95573,"1,433"
1662,"$19,375 ","92275 / 1,413",92275,"1,413"
1184,"$44,348 ","96056 / 1,407",96056,"1,407"
1113,"$47,031 ","95955 / 1,384",95955,"1,384"
1560,"$29,913 ","95560 / 1,374",95560,"1,374"
670,"$63,722 ","91905 / 1,370",91905,"1,370"
1487,"$33,600 ","93624 / 1,359",93624,"1,359"
748,"$60,268 ","96103 / 1,357",96103,"1,357"
1134,"$46,121 ","93653 / 1,357",93653,"1,357"
864,"$56,081 ","95547 / 1,347",95547,"1,347"
1552,"$30,710 ","96023 / 1,339",96023,"1,339"
1489,"$33,375 ","92086 / 1,335",92086,"1,335"
1372,"$38,500 ","96057 / 1,332",96057,"1,332"
411,"$78,114 ","95452 / 1,314",95452,"1,314"
1148,"$45,588 ","95389 / 1,312",95389,"1,312"
1368,"$38,636 ","95916 / 1,291",95916,"1,291"
762,"$59,832 ","95962 / 1,285",95962,"1,285"
1174,"$44,554 ","95528 / 1,273",95528,"1,273"
1346,"$39,110 ","95246 / 1,258",95246,"1,258"
714,"$61,488 ","96062 / 1,253",96062,"1,253"
650,"$64,612 ","92321 / 1,244",92321,"1,244"
1609,"$26,667 ","92242 / 1,235",92242,"1,235"
1605,"$26,852 ","92273 / 1,228",92273,"1,228"
1217,"$43,295 ","95589 / 1,226",95589,"1,226"
1410,"$37,083 ","95462 / 1,216",95462,"1,216"
1367,"$38,665 ","93668 / 1,215",93668,"1,215"
1583,"$28,750 ","96039 / 1,206",96039,"1,206"
1446,"$35,603 ","92327 / 1,202",92327,"1,202"
